_ID,_VALUE,IsRefresh:bool,Itemid:id,ItemNum:int,Price:int,BuyMaxNum:int[]
POINT_MARKE_SHOP_101,101,FALSE,ITEM_BLUE_ROSE,1,50000,10
POINT_MARKE_SHOP_102,102,FALSE,ITEM_MONSTER_SPLINTER_ALL_4,60,150000,10
POINT_MARKE_SHOP_103,103,FALSE,ITEM_OPTIONAL_SS_MONSTER_RPS,1,150000,5
POINT_MARKE_SHOP_104,104,FALSE,ITEM_OPTIONAL_EGGYRA_ALL,1,15000,10
POINT_MARKE_SHOP_105,105,FALSE,ITEM_OPTIONAL_EGGYRA_ALL,1,45000,50
POINT_MARKE_SHOP_106,106,FALSE,ITEM_MONSTER_SPLINTER_RPS_SS,10,10000,18
POINT_MARKE_SHOP_107,107,FALSE,ITEM_MONSTER_SPLINTER_RPS_SS,10,20000,90
POINT_MARKE_SHOP_108,108,FALSE,ITEM_BANQUET_TICKET,1,2500,70
POINT_MARKE_SHOP_109,109,FALSE,ITEM_EXCLUSIVE_MATERIAL_LOW,3,1000,200
POINT_MARKE_SHOP_110,110,FALSE,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,2,1500,200
POINT_MARKE_SHOP_111,111,FALSE,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,1,2000,200
POINT_MARKE_SHOP_112,112,FALSE,ITEM_EXCLUSIVE_WASH,1,1580,0
POINT_MARKE_SHOP_113,113,FALSE,ITEM_NORMAL_REFINED_STONE,10,500,0
POINT_MARKE_SHOP_114,114,FALSE,ITEM_HIGH_REFINED_STONE,5,5000,0
POINT_MARKE_SHOP_115,115,FALSE,ITEM_GOLD,150000,100,0
POINT_MARKE_SHOP_116,116,FALSE,ITEM_BATTLE_SOUL,30000,100,0
