_ID,_VALUE,NormalBattleDrop:int[],MapLevelId:id,EnemyModel:id,BossLv:int,BossStar:int,EnemylImg:string,Xpos:int,Ypos:int,Name:loc,NameServer:string,Color:string,PlayerRankRewards:id,PresenterDistance:double,IsInfinite:bool
GUILD_BOSS_MAP_1,1,16801,LEVEL_GUILD_BOSS_1,HERO_PETIT,55,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_2,2,16801,LEVEL_GUILD_BOSS_2,HERO_VAGABOND_WOLF,60,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_3,3,16801,LEVEL_GUILD_BOSS_3,HERO_KOBOLD_LEADER,65,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_4,4,16801,LEVEL_GUILD_BOSS_4,HERO_CAT_O_NINE_TAIL,70,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_5,5,16801,LEVEL_GUILD_BOSS_5,HERO_MINOROUS,75,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_6,6,16801,LEVEL_GUILD_BOSS_6,HERO_GOBLIN_LEADER,80,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS1,28,FALSE
GUILD_BOSS_MAP_7,7,16802,LEVEL_GUILD_BOSS_7,HERO_HIGH_ORC,85,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS2,28,FALSE
GUILD_BOSS_MAP_8,8,16802,LEVEL_GUILD_BOSS_8,HERO_JAKK,90,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS2,28,FALSE
GUILD_BOSS_MAP_9,9,16802,LEVEL_GUILD_BOSS_9,HERO_ANTONIO,95,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS2,28,FALSE
GUILD_BOSS_MAP_10,10,16802,LEVEL_GUILD_BOSS_10,HERO_SOHEE,100,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS2,28,FALSE
GUILD_BOSS_MAP_11,11,16802,LEVEL_GUILD_BOSS_11,HERO_MARC,105,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS2,28,FALSE
GUILD_BOSS_MAP_12,12,16803,LEVEL_GUILD_BOSS_12,HERO_DEVIRUCHI,110,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_13,13,16803,LEVEL_GUILD_BOSS_13,HERO_GHOSTRING,115,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_14,14,16803,LEVEL_GUILD_BOSS_14,HERO_WHISPER_BOSS,120,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_15,15,16803,LEVEL_GUILD_BOSS_15,HERO_ISSUS,125,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_16,16,16803,LEVEL_GUILD_BOSS_16,HERO_VANESSA,130,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_17,17,16803,LEVEL_GUILD_BOSS_17,HERO_HAROLD,135,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_18,18,16803,LEVEL_GUILD_BOSS_18,HERO_HELENA,140,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_19,19,16803,LEVEL_GUILD_BOSS_19,HERO_DALEME,145,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS3,28,FALSE
GUILD_BOSS_MAP_20,20,16804,LEVEL_GUILD_BOSS_20,HERO_GIORGILI,150,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_21,21,16804,LEVEL_GUILD_BOSS_21,HERO_PETIT,155,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_22,22,16804,LEVEL_GUILD_BOSS_22,HERO_VAGABOND_WOLF,160,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_23,23,16804,LEVEL_GUILD_BOSS_23,HERO_KOBOLD_LEADER,165,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_24,24,16804,LEVEL_GUILD_BOSS_24,HERO_CAT_O_NINE_TAIL,170,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_25,25,16804,LEVEL_GUILD_BOSS_25,HERO_MINOROUS,175,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_26,26,16804,LEVEL_GUILD_BOSS_26,HERO_GOBLIN_LEADER,180,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_27,27,16804,LEVEL_GUILD_BOSS_27,HERO_HIGH_ORC,185,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_28,28,16804,LEVEL_GUILD_BOSS_28,HERO_JAKK,190,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_29,29,16804,LEVEL_GUILD_BOSS_29,HERO_ANTONIO,195,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_30,30,16804,LEVEL_GUILD_BOSS_30,HERO_SOHEE,200,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS4,28,FALSE
GUILD_BOSS_MAP_31,31,16805,LEVEL_GUILD_BOSS_31,HERO_MARC,205,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS5,28,FALSE
GUILD_BOSS_MAP_32,32,16805,LEVEL_GUILD_BOSS_32,HERO_DEVIRUCHI,210,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,GUILD_BOSS_PARAM_PLAYER_RANK_REWARDS5,28,FALSE
