_INDEX,Reward:id,FinalReward:id,FinalRewardNum:int,Rare:int
0,DICE_ACHIEVE_CHECKERBOARD_REWARD_1,ITEM_FRIENDSHIP_VOUCHER,5,0
1,DICE_ACHIEVE_CHECKERBOARD_REWARD_1,ITEM_BANQUET_TICKET,10,0
2,DICE_ACHIEVE_CHECKERBOARD_REWARD_1,ITEM_SPAR_KEY,2,0
3,DICE_ACHIEVE_CHECKERBOARD_REWARD_2,ITEM_BANQUET_TICKET,10,0
4,DICE_ACHIEVE_CHECKERBOARD_REWARD_2,ITEM_SPAR_SUPER_BOX_TICKET,1,0
5,DICE_ACHIEVE_CHECKERBOARD_REWARD_2,ITEM_BANQUET_TICKET,10,0
6,DICE_ACHIEVE_CHECKERBOARD_REWARD_3,ITEM_FRIENDSHIP_VOUCHER,10,0
7,DICE_ACHIEVE_CHECKERBOARD_REWARD_3,ITEM_BANQUET_TICKET,10,0
8,DICE_ACHIEVE_CHECKERBOARD_REWARD_3,ITEM_SPAR_KEY,4,0
9,DICE_ACHIEVE_CHECKERBOARD_REWARD_4,ITEM_BANQUET_TICKET,15,0
10,DICE_ACHIEVE_CHECKERBOARD_REWARD_4,ITEM_SPAR_SUPER_BOX_TICKET,2,0
11,DICE_ACHIEVE_CHECKERBOARD_REWARD_4,ITEM_BANQUET_TICKET,15,0
12,DICE_ACHIEVE_CHECKERBOARD_REWARD_5,ITEM_FRIENDSHIP_VOUCHER,15,0
13,DICE_ACHIEVE_CHECKERBOARD_REWARD_5,ITEM_BANQUET_TICKET,20,0
14,DICE_ACHIEVE_CHECKERBOARD_REWARD_5,ITEM_SPAR_SUPER_BOX_TICKET,3,0
15,DICE_ACHIEVE_CHECKERBOARD_REWARD_6,ITEM_OPTIONAL_SS_MONSTER_RPS,1,0
16,DICE_ACHIEVE_CHECKERBOARD_REWARD_6,ITEM_LUCKY_BAG_BANQUET_TICKET,3,0
