Name:string,_ID,_VALUE,Sort:int,NameKey:loc,#Name:string,Type:id,EvolveId:id,#Des:string,DesKey:loc,Element:id,Element2:id,AttackSpeed:decimal,Hitpoints:obsint,Hp_Rank:id,HpPotential:decimal,Damage:obsint,Damage_Rank:id,DamagePotential:decimal,Armor:obsint,Armor_Rank:id,ArmorPotential:decimal,MagicDef:obsint,MagicalDef_Rank:id,MagicDefPotential:decimal,CriticalDamage:decimal,CriticalHit:decimal,Rarity:id,Icon:string,CardIcon:string,UniversalShards:id
Atroce_S,SCROLL_CHARA_ATROCE_S,1,101,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_ATROCE_S,暗之恶毒精华,CAREER_SCROLL_3,SCROLL_PET_EVOLVE_ATROCE_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_BAPHOMET_S,ELEMENT_TYPE_DARK,,1.65,352,ATTRIBUTE_RANK_TYPE_A,176,10,ATTRIBUTE_RANK_TYPE_A,5.47,14,ATTRIBUTE_RANK_TYPE_S,2.8,9,ATTRIBUTE_RANK_TYPE_B,1.85,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_DARK_EVIL_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Baphomet_S,SCROLL_CHARA_BAPHOMET_S,2,102,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_BAPHOMET_S,暗之狂暴精华,CAREER_SCROLL_1,SCROLL_PET_EVOLVE_BAPHOMET_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_BAPHOMET_S,ELEMENT_TYPE_DARK,ELEMENT_TYPE_FIRE,1.65,390,ATTRIBUTE_RANK_TYPE_A,195,16,ATTRIBUTE_RANK_TYPE_S,8.13,10,ATTRIBUTE_RANK_TYPE_B,2.1,7,ATTRIBUTE_RANK_TYPE_D,1.45,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_DARK_RAGE_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Phreeoni_S,SCROLL_CHARA_PHREEONI_S,3,103,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_PHREEONI_S,地之穿刺精华,CAREER_SCROLL_3,SCROLL_PET_EVOLVE_PHREEONI_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_BAPHOMET_S,ELEMENT_TYPE_EARTH,,1.65,330,ATTRIBUTE_RANK_TYPE_A,165,11,ATTRIBUTE_RANK_TYPE_A,5.81,10,ATTRIBUTE_RANK_TYPE_B,2,15,ATTRIBUTE_RANK_TYPE_S,3,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_EARTH_PIERCING_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Bigfoot,SCROLL_CHARA_BIGFOOT,4,104,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_BIGFOOT,地之抵御精华,CAREER_SCROLL_4,SCROLL_PET_EVOLVE_BIGFOOT,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_BIGFOOT,ELEMENT_TYPE_EARTH,,2.2,370,ATTRIBUTE_RANK_TYPE_S,185,9,ATTRIBUTE_RANK_TYPE_B,4.6,14,ATTRIBUTE_RANK_TYPE_S,2.9,12,ATTRIBUTE_RANK_TYPE_A,2.55,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_EARTH_DEFENSE_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Wander_Man_S,SCROLL_CHARA_WANDER_MAN_S,5,105,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_WANDER_MAN_S,风之巨人精华,CAREER_SCROLL_1,SCROLL_PET_EVOLVE_WANDER_MAN_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_WANDER_MAN_S,ELEMENT_TYPE_WIND,,1.9,376,ATTRIBUTE_RANK_TYPE_A,188,14,ATTRIBUTE_RANK_TYPE_A,7.15,10,ATTRIBUTE_RANK_TYPE_B,2.1,8,ATTRIBUTE_RANK_TYPE_C,1.72,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_WIND_GIANT_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Gryphon_S,SCROLL_CHARA_GRYPHON_S,6,106,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_GRYPHON_S,风之迅捷精华,CAREER_SCROLL_3,SCROLL_PET_EVOLVE_GRYPHON_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_GRYPHON_S,ELEMENT_TYPE_WIND,,2,364,ATTRIBUTE_RANK_TYPE_A,182,13,ATTRIBUTE_RANK_TYPE_A,6.5,8,ATTRIBUTE_RANK_TYPE_C,1.65,10,ATTRIBUTE_RANK_TYPE_B,2.05,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_WIND_RAPID_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Eddga_S,SCROLL_CHARA_EDDGA_S,7,107,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_EDDGA_S,火之燃烧精华,CAREER_SCROLL_1,SCROLL_PET_EVOLVE_EDDGA_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_GRYPHON_S,ELEMENT_TYPE_FIRE,ELEMENT_TYPE_DARK,2,410,ATTRIBUTE_RANK_TYPE_S,205,12,ATTRIBUTE_RANK_TYPE_A,6.27,13,ATTRIBUTE_RANK_TYPE_A,2.65,9,ATTRIBUTE_RANK_TYPE_C,1.8,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_FIRE_BURNING_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Orc_Lord_S,SCROLL_CHARA_ORC_LORD_S,8,108,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_ORC_LORD_S,火之泣血精华,CAREER_SCROLL_4,SCROLL_PET_EVOLVE_ORC_LORD_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_GRYPHON_S,ELEMENT_TYPE_FIRE,ELEMENT_TYPE_EARTH,2,380,ATTRIBUTE_RANK_TYPE_S,190,8,ATTRIBUTE_RANK_TYPE_B,4.4,15,ATTRIBUTE_RANK_TYPE_S,3.1,11,ATTRIBUTE_RANK_TYPE_B,2.2,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_FIRE_BLOOD_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
Mistress_S,SCROLL_CHARA_MISTRESS_S,9,109,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_MISTRESS_S,圣之治愈精华,CAREER_SCROLL_5,SCROLL_PET_EVOLVE_MISTRESS_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_MISTRESS_S,ELEMENT_TYPE_HOLY,,2.2,306,ATTRIBUTE_RANK_TYPE_A,153,11,ATTRIBUTE_RANK_TYPE_A,5.99,7,ATTRIBUTE_RANK_TYPE_C,1.58,10,ATTRIBUTE_RANK_TYPE_B,2.15,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_HOLY_HEALING_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
G_Randgris_S,SCROLL_CHARA_G_RANDGRIS_S,10,110,LOC_CHARACTERS_NAMECN_SCROLL_CHARA_G_RANDGRIS_S,圣之残酷精华,CAREER_SCROLL_3,SCROLL_PET_EVOLVE_G_RANDGRIS_S,描述未完成，请在character.csv 表中添加描述,LOC_CHARACTERS_DESKEY_CHARA_3D_G_RANDGRIS_S,ELEMENT_TYPE_HOLY,ELEMENT_TYPE_DARK,1.55,324,ATTRIBUTE_RANK_TYPE_B,162,15,ATTRIBUTE_RANK_TYPE_S,7.8,8,ATTRIBUTE_RANK_TYPE_C,1.78,7,ATTRIBUTE_RANK_TYPE_D,1.42,10000,0,RARITY_TYPE_ORANGE,ICON_ESSENCE_HOLY_CRUEL_ESSENCE,,ITEM_ESSENCE_GENERAL_LEGENDARY
